benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
crc32,52284323685,4866258659366,4918542983051,16904374674.000,16904.374674,0.016,32.00,41.00,35.00,41.00,294.775909,294775.909,,,294.775909,294775.909
crc32,52260771879,4918543224600,4970803996479,16896745743.000,16896.745743,0.009,41.00,41.00,41.00,41.00,296.080505,296080.505,,,296.080505,296080.505
crc32,52273012477,4970804184992,5023077197469,16900714275.000,16900.714275,0.008,41.00,42.00,41.00,42.00,297.310272,297310.272,,,297.310272,297310.272
crc32,52256696147,5023077444867,5075334141014,16895426072.000,16895.426072,0.009,42.00,44.00,42.00,44.00,297.703766,297703.766,,,297.703766,297703.766
crc32,52253171733,5075334313345,5127587485078,16894285142.000,16894.285142,0.008,44.00,44.00,44.00,44.00,298.132904,298132.904,,,298.132904,298132.904
crc32,52251638113,5127587655593,5179839293706,16893788518.000,16893.788518,0.008,44.00,43.00,44.00,43.00,298.554535,298554.535,,,298.554535,298554.535
crc32,52253145165,5179839486122,5232092631287,16894275357.000,16894.275357,0.009,43.00,44.00,43.00,44.00,298.727112,298727.112,,,298.727112,298727.112
crc32,52265069982,5232092802531,5284357872513,16898133517.000,16898.133517,0.008,44.00,44.00,44.00,44.00,299.305038,299305.038,,,299.305038,299305.038
crc32,52253963612,5284358068767,5336612032379,16894538565.000,16894.538565,0.008,44.00,45.00,44.00,45.00,299.325745,299325.745,,,299.325745,299325.745
crc32,52255963732,5336612203378,5388868167110,16895184625.000,16895.184625,0.008,45.00,44.00,45.00,44.00,299.616364,299616.364,,,299.616364,299616.364
crc32,52253834109,5388868337773,5441122171882,16894495788.000,16894.495788,0.008,44.00,45.00,44.00,45.00,299.928146,299928.146,,,299.928146,299928.146
crc32,52254597683,5441122356899,5493376954582,16894742941.000,16894.742941,0.011,45.00,45.00,45.00,45.00,300.077698,300077.698,,,300.077698,300077.698
crc32,52252430163,5493377124728,5545629554891,16894040431.000,16894.040431,0.008,45.00,45.00,45.00,45.00,300.337463,300337.463,,,300.337463,300337.463
