benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
crc32,52288111415,4226761037663,4279049149078,16905986533.000,16905.986533,0.000,34.00,36.00,35.00,43.00,295.296570,295296.570,236.722763,236722.763,4.432587,4432.587,,,295.296570,295296.570
crc32,52247449121,4279050480815,4331297929936,16892570344.000,16892.570344,0.000,36.00,37.00,43.00,44.00,295.029236,295029.236,237.239639,237239.639,4.431732,4431.732,,,295.029236,295029.236
crc32,52248019094,4331298895595,4383546914689,16892751367.000,16892.751367,0.000,37.00,37.00,44.00,45.00,295.722229,295722.229,237.762894,237762.894,4.431870,4431.870,,,295.722229,295722.229
crc32,52246766455,4383547870894,4435794637349,16892346182.000,16892.346182,0.000,37.00,37.00,45.00,45.00,296.042358,296042.358,238.074051,238074.051,4.432465,4432.465,,,296.042358,296042.358
crc32,52248586154,4435795609937,4488044196091,16892934162.000,16892.934162,0.000,37.00,38.00,45.00,46.00,296.750732,296750.732,238.555710,238555.710,4.428619,4428.619,,,296.750732,296750.732
crc32,52241261689,4488045145396,4540286407085,16890509421.000,16890.509421,0.000,38.00,39.00,46.00,46.00,297.217773,297217.773,238.938202,238938.202,4.427582,4427.582,,,297.217773,297217.773
crc32,52248788041,4540287195051,4592535983092,16892985811.000,16892.985811,0.000,39.00,38.00,46.00,46.00,297.748138,297748.138,239.307266,239307.266,4.422653,4422.653,,,297.748138,297748.138
crc32,52243335325,4592536877173,4644780212498,16891238788.000,16891.238788,0.000,38.00,39.00,46.00,46.00,297.509537,297509.537,239.072647,239072.647,4.423004,4423.004,,,297.509537,297509.537
crc32,52245607993,4644781146590,4697026754583,16891972517.000,16891.972517,0.000,39.00,39.00,46.00,46.00,297.696732,297696.732,239.231781,239231.781,4.422363,4422.363,,,297.696732,297696.732
crc32,52240496130,4697027704023,4749268200153,16890294935.000,16890.294935,0.000,39.00,40.00,46.00,46.00,297.610321,297610.321,239.089447,239089.447,4.424240,4424.240,,,297.610321,297610.321
crc32,52247361499,4749269069351,4801516430850,16892555775.000,16892.555775,0.000,40.00,40.00,46.00,46.00,297.996933,297996.933,239.459335,239459.335,4.426727,4426.727,,,297.996933,297996.933
crc32,52246747196,4801517432498,4853764179694,16892336214.000,16892.336214,0.000,40.00,40.00,46.00,47.00,298.139862,298139.862,239.535339,239535.339,4.429779,4429.779,,,298.139862,298139.862
crc32,52241286718,4853765139492,4906006426210,16890575595.000,16890.575595,0.000,40.00,40.00,47.00,46.00,298.301956,298301.956,239.689240,239689.240,4.431900,4431.900,,,298.301956,298301.956
crc32,52245202928,4906007375609,4958252578537,16891802720.000,16891.802720,0.000,40.00,39.00,46.00,47.00,298.196823,298196.823,239.634949,239634.949,4.433136,4433.136,,,298.196823,298196.823
crc32,52243403052,4958253409313,5010496812365,16891197229.000,16891.197229,0.000,39.00,40.00,47.00,48.00,298.708679,298708.679,240.097458,240097.458,4.430496,4430.496,,,298.708679,298708.679
crc32,52244904805,5010497569541,5062742474346,16891742048.000,16891.742048,0.000,40.00,39.00,48.00,47.00,299.116684,299116.684,240.386246,240386.246,4.430695,4430.695,,,299.116684,299116.684
crc32,52243099760,5062743417100,5114986516860,16891140041.000,16891.140041,0.000,39.00,41.00,47.00,47.00,298.977066,298977.066,240.308273,240308.273,4.431213,4431.213,,,298.977066,298977.066
