benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
cubic,52844617276,12884641949470,12937486566746,17085829505.000,17085.829505,10.290,40.00,41.00,45.00,47.00,280.632568,280632.568,,,280.632568,280632.568
cubic,52845572276,12937551302882,12990396875158,17086126747.000,17086.126747,20.659,42.00,41.00,45.00,48.00,280.821274,280821.274,,,280.821274,280821.274
cubic,52849573232,12990461562850,13043311136082,17087484196.000,17087.484196,20.511,40.00,41.00,45.00,47.00,279.885849,279885.849,,,279.885849,279885.849
cubic,52848073280,13043344156342,13096192229622,17086889594.000,17086.889594,10.201,41.00,41.00,45.00,46.00,280.432510,280432.510,,,280.432510,280432.510
cubic,52848417772,13096225345870,13149073763642,17087139794.000,17087.139794,10.351,41.00,41.00,45.00,47.00,280.153397,280153.397,,,280.153397,280153.397
cubic,52847554544,13149106597446,13201954151990,17086802895.000,17086.802895,10.289,41.00,41.00,45.00,47.00,280.206696,280206.696,,,280.206696,280206.696
cubic,52848963200,13201987265058,13254836228258,17087043504.000,17087.043504,10.301,41.00,42.00,45.00,47.00,279.871429,279871.429,,,279.871429,279871.429
cubic,52848222032,13254900627174,13307748849206,17087044108.000,17087.044108,20.550,41.00,41.00,45.00,48.00,279.967819,279967.819,,,279.967819,279967.819
cubic,52847946136,13307813162918,13360661109054,17086847323.000,17086.847323,20.440,42.00,41.00,45.00,47.00,279.923279,279923.279,,,279.923279,279923.279
cubic,52849791416,13360726141320,13413575932736,17087547580.000,17087.547580,20.525,41.00,40.00,45.00,47.00,279.916626,279916.626,,,279.916626,279916.626
cubic,52849107028,13413609170186,13466458277214,17087521485.000,17087.521485,10.233,41.00,41.00,45.00,47.00,279.869659,279869.659,,,279.869659,279869.659
cubic,52849330136,13466523367688,13519372697824,17087570492.000,17087.570492,20.471,42.00,41.00,45.00,48.00,280.063416,280063.416,,,280.063416,280063.416
cubic,52845520076,13519437754314,13572283274390,17086258095.000,17086.258095,20.421,41.00,41.00,45.00,48.00,280.431015,280431.015,,,280.431015,280431.015
cubic,52848155316,13572347697555,13625195852871,17086875770.000,17086.875770,20.504,41.00,41.00,45.00,47.00,279.928650,279928.650,,,279.928650,279928.650
cubic,52849163064,13625261048206,13678110211270,17087450827.000,17087.450827,20.538,41.00,41.00,45.00,48.00,280.024063,280024.063,,,280.024063,280024.063
cubic,52849274796,13678175081518,13731024356314,17087521883.000,17087.521883,20.447,40.00,42.00,45.00,47.00,280.040771,280040.771,,,280.040771,280040.771
cubic,52847121056,13731056937168,13783904058224,17086633189.000,17086.633189,10.194,41.00,41.00,45.00,47.00,280.019058,280019.058,,,280.019058,280019.058
