target_ratio,target_freq_ghz,current_ratio,current_freq_ghz,mperf_cycles,aperf_cycles,actual_freq_ghz,energy_j,bench_cycles
34,3.4,34,3.4,10505886484,11522585143,3.4,72.4956,10505880048
33,3.3,33,3.3,10825698404,11524130538,3.3,69.0202,10825691974
32,3.2,32,3.2,11163023864,11523121372,3.2,66.326,11163017382
31,3.1,31,3.1,11524257784,11524257752,3.1,63.81,11524251084
30,3,30,3,11907690832,11523571738,3,63.4739,11907683932
29,2.9,29,2.9,12319597048,11524784300,2.9,62.6165,12319590084
28,2.8,28,2.8,12761867708,11526848214,2.8,62.3994,12761860516
27,2.7,27,2.7,13234561252,11526875893,2.7,61.6956,13234553648
26,2.6,26,2.6,13739907026,11523792959,2.6,61.5127,13739899236
25,2.5,25,2.5,14291120572,11525097187,2.5,60.9191,14291112560
24,2.4,24,2.4,14885136385,11523976519,2.4,60.8233,14885127834
23,2.3,23,2.3,15531997357,11523739939,2.3,60.4027,15531988563
22,2.2,22,2.2,16238870782,11524359873,2.2,60.5601,16238861993
21,2.1,21,2.1,17015147350,11526390110,2.1,60.4109,17015137891
20,2,20,2,17863357707,11524746873,2,60.6303,17863348097
19,1.9,19,1.9,18805099950,11525706384,1.9,61.102,18805089888
18,1.8,18,1.8,19843635792,11522111067,1.8,61.1994,19843624848
17,1.7,17,1.7,21014828260,11524260625,1.7,61.9526,21014816733
16,1.6,16,1.6,22332134599,11526262984,1.6,62.4752,22332122502

Test complete.
