benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
crc32,79984422477,7066743319719,7146727742196,25878184900.000,25878.184900,0.101,36.00,41.00,45.00,41.00,311.629776,311629.776,222.144211,222144.211,6.700089,6700.089,,311.629776,311629.776
crc32,68471335515,7146783995185,7215255330700,22137926429.000,22137.926429,0.028,41.00,36.00,41.00,42.00,292.577576,292577.576,216.685959,216685.959,5.723816,5723.816,,292.577576,292577.576
crc32,80731364861,7215256202891,7295987567752,26101874561.000,26101.874561,0.025,36.00,36.00,42.00,42.00,310.067596,310067.596,221.033340,221033.340,6.760620,6760.620,,310.067596,310067.596
crc32,66185883285,7295988790483,7362174673768,21399006869.000,21399.006869,0.026,36.00,37.00,42.00,43.00,288.493118,288493.118,215.290771,215290.771,5.536438,5536.438,,288.493118,288493.118
crc32,82247821739,7362175536757,7444423358496,26592047505.000,26592.047505,0.025,37.00,36.00,43.00,42.00,310.003769,310003.769,219.806564,219806.564,6.885162,6885.162,,310.003769,310003.769
crc32,73777191831,7444424220837,7518201412668,23853603605.000,23853.603605,0.025,36.00,36.00,42.00,42.00,298.056961,298056.961,217.075699,217075.699,6.177444,6177.444,,298.056961,298056.961
crc32,78137508373,7518202982483,7596340490856,25263126900.000,25263.126900,0.027,36.00,37.00,42.00,43.00,305.039139,305039.139,219.110916,219110.916,6.545532,6545.532,,305.039139,305039.139
crc32,76651527268,7596341354035,7672992881303,24782858887.000,24782.858887,0.025,37.00,37.00,43.00,43.00,304.608994,304608.994,219.594849,219594.849,6.416840,6416.840,,304.608994,304608.994
crc32,71064959032,7672994268455,7744059227487,22976737572.000,22976.737572,0.027,37.00,36.00,43.00,42.00,295.882355,295882.355,217.186569,217186.569,5.946732,5946.732,,295.882355,295882.355
crc32,82952729408,7744060906719,7827013636127,26892213844.000,26892.213844,0.027,37.00,38.00,42.00,39.00,311.554901,311554.901,220.240799,220240.799,6.959305,6959.305,,311.554901,311554.901
crc32,67254932704,7827238014107,7894492946811,21744802237.000,21744.802237,0.026,38.00,37.00,39.00,42.00,289.283417,289283.417,214.987000,214987.000,5.624771,5624.771,,289.283417,289283.417
crc32,80986540656,7894494290479,7975480831135,26255023176.000,26255.023176,0.026,37.00,36.00,42.00,36.00,307.069855,307069.855,218.404007,218404.007,6.797211,6797.211,,307.069855,307069.855
crc32,72051093680,7975700587063,8047751680743,23295593815.000,23295.593815,0.027,36.00,36.00,36.00,42.00,296.741714,296741.714,216.908005,216908.005,6.030396,6030.396,,296.741714,296741.714
crc32,75443312238,8047753447109,8123196759347,24392214271.000,24392.214271,0.027,36.00,36.00,42.00,42.00,302.867233,302867.233,219.036713,219036.713,6.315231,6315.231,,302.867233,302867.233
crc32,79242291463,8123198116261,8202440407724,25620491740.000,25620.491740,0.026,36.00,36.00,42.00,42.00,307.163971,307163.971,219.408173,219408.173,6.635651,6635.651,,307.163971,307163.971
crc32,69556282761,8202441818615,8271998101376,22488936255.000,22488.936255,0.026,36.00,37.00,42.00,43.00,293.091629,293091.629,216.124329,216124.329,5.817871,5817.871,,293.091629,293091.629
crc32,85152293889,8271999731991,8357152025880,27531308291.000,27531.308291,0.034,37.00,36.00,43.00,42.00,313.907928,313907.928,220.381104,220381.104,7.127548,7127.548,,313.907928,313907.928
crc32,64015835241,8357153530511,8421169365752,21671027300.000,21671.027300,0.027,36.00,38.00,42.00,38.00,284.324203,284324.203,214.312622,214312.622,5.608505,5608.505,,284.324203,284324.203
crc32,82810384487,8424181637065,8506992021552,26773982235.000,26773.982235,0.025,38.00,37.00,38.00,42.00,309.922836,309922.836,218.993164,218993.164,6.939728,6939.728,,309.922836,309922.836
crc32,73930886941,8506993045711,8580923932652,23903188190.000,23903.188190,0.025,37.00,36.00,42.00,43.00,300.149689,300149.689,217.967865,217967.865,6.190491,6190.491,,300.149689,300149.689
