benchmark,cpu_cycles,cycles_start,cycles_end,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
bubblesort,65339943872,113218542669,178558486541,297.652069,297652.069,0.000000,0.000,297.652069,297652.069
bubblesort,65339921636,178644487725,243984409361,297.615402,297615.402,0.000000,0.000,297.615402,297615.402
bubblesort,65339349640,244070425061,309409774701,297.608062,297608.062,0.000000,0.000,297.608062,297608.062
bubblesort,65339926540,309495810937,374835737477,297.778869,297778.869,0.000000,0.000,297.778869,297778.869
bubblesort,65339928336,374921799409,440261727745,297.767303,297767.303,0.000000,0.000,297.767303,297767.303
bubblesort,65339327184,440347790381,505687117565,297.953323,297953.323,0.000000,0.000,297.953323,297953.323
bubblesort,65339933124,505773204077,571113137201,298.157302,298157.302,0.000000,0.000,298.157302,298157.302
bubblesort,65339912236,571199262105,636539174341,298.281814,298281.814,0.000000,0.000,298.281814,298281.814
bubblesort,65339325012,636625318101,701964643113,298.106552,298106.552,0.000000,0.000,298.106552,298106.552
bubblesort,65339940340,702050798221,767390738561,298.342636,298342.636,0.000000,0.000,298.342636,298342.636
bubblesort,65339938680,767476932213,832816870893,298.713455,298713.455,0.000000,0.000,298.713455,298713.455
bubblesort,65339336568,832903067425,898242403993,298.783905,298783.905,0.000000,0.000,298.783905,298783.905
bubblesort,65339950200,898328611185,963668561385,298.695159,298695.159,0.000000,0.000,298.695159,298695.159
bubblesort,65339939424,963754795109,1029094734533,298.772109,298772.109,0.000000,0.000,298.772109,298772.109
bubblesort,65339335364,1029181799897,1094521135261,299.032440,299032.440,0.000000,0.000,299.032440,299032.440
bubblesort,65339944592,1094609018525,1159948963117,299.196517,299196.517,0.000000,0.000,299.196517,299196.517
bubblesort,65339925380,1160036873513,1225376798893,298.961395,298961.395,0.000000,0.000,298.961395,298961.395
bubblesort,65339326936,1225464706629,1290804033565,299.053680,299053.680,0.000000,0.000,299.053680,299053.680
bubblesort,65339917712,1290891962641,1356231880353,299.288375,299288.375,0.000000,0.000,299.288375,299288.375
bubblesort,65339920972,1356319805257,1421659726229,299.373214,299373.214,0.000000,0.000,299.373214,299373.214
bubblesort,65339312420,1421747653969,1487086966389,299.235168,299235.168,0.000000,0.000,299.235168,299235.168
bubblesort,65339921692,1487174897693,1552514819385,299.257797,299257.797,0.000000,0.000,299.257797,299257.797
bubblesort,65339310888,1552602775349,1617942086237,299.401641,299401.641,0.000000,0.000,299.401641,299401.641
bubblesort,65339306136,1618030043593,1683369349729,299.326858,299326.858,0.000000,0.000,299.326858,299326.858
bubblesort,65339963020,1683457332225,1748797295245,299.350402,299350.402,0.000000,0.000,299.350402,299350.402
bubblesort,65339320980,1748885283141,1814224604121,299.392211,299392.211,0.000000,0.000,299.392211,299392.211
bubblesort,65339948976,1814312594749,1879652543725,299.563140,299563.140,0.000000,0.000,299.563140,299563.140
bubblesort,65339923268,1879740539749,1945080463017,299.625289,299625.289,0.000000,0.000,299.625289,299625.289
bubblesort,65339348736,1945168444477,2010507793213,299.515396,299515.396,0.000000,0.000,299.515396,299515.396
bubblesort,65339933000,2010595776801,2075935709801,299.507431,299507.431,0.000000,0.000,299.507431,299507.431
bubblesort,65339956772,2076023698441,2141363655213,299.630218,299630.218,0.000000,0.000,299.630218,299630.218
bubblesort,65339358376,2141451628885,2206790987261,299.871322,299871.322,0.000000,0.000,299.871322,299871.322
bubblesort,65339934780,2206878986609,2272218921389,299.715393,299715.393,0.000000,0.000,299.715393,299715.393
bubblesort,65339947664,2272306912181,2337646859845,299.757415,299757.415,0.000000,0.000,299.757415,299757.415
bubblesort,65339322112,2337734843653,2403074165765,299.624740,299624.740,0.000000,0.000,299.624740,299624.740
bubblesort,65339907252,2403162158457,2468502065709,299.595169,299595.169,0.000000,0.000,299.595169,299595.169
bubblesort,65339956256,2468590079245,2533930035501,299.633346,299633.346,0.000000,0.000,299.633346,299633.346
bubblesort,65339313804,2534018023341,2599357337145,299.785552,299785.552,0.000000,0.000,299.785552,299785.552
bubblesort,65339898308,2599445342153,2664785240461,300.000503,300000.503,0.000000,0.000,300.000503,300000.503
bubblesort,65339914256,2664873257021,2730213171277,300.055496,300055.496,0.000000,0.000,300.055496,300055.496
bubblesort,65339355428,2730301173101,2795640528529,300.051879,300051.879,0.000000,0.000,300.051879,300051.879
bubblesort,65339902276,2795728547509,2861068449785,300.055007,300055.007,0.000000,0.000,300.055007,300055.007
bubblesort,65339940408,2861156430949,2926496371357,299.946884,299946.884,0.000000,0.000,299.946884,299946.884
bubblesort,65339325376,2926584382177,2991923707553,300.128173,300128.173,0.000000,0.000,300.128173,300128.173
bubblesort,65339933044,2992011747317,3057351680361,300.214096,300214.096,0.000000,0.000,300.214096,300214.096
bubblesort,65339921440,3057439716157,3122779637597,300.039077,300039.077,0.000000,0.000,300.039077,300039.077
bubblesort,65339341660,3122867677381,3188207019041,300.030136,300030.136,0.000000,0.000,300.030136,300030.136
bubblesort,65339944956,3188295050705,3253634995661,299.822738,299822.738,0.000000,0.000,299.822738,299822.738
bubblesort,65339930060,3253723025497,3319062955557,299.951217,299951.217,0.000000,0.000,299.951217,299951.217
bubblesort,65339334028,3319150968113,3384490302141,300.009429,300009.429,0.000000,0.000,300.009429,300009.429
