benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
dijkstra,442616632,4493860512427,4494303129059,143165001.000,143.165001,0.009,44.00,44.00,44.00,44.00,2.388550,2388.550,1.882828,1882.828,0.037628,37.628,,,2.388550,2388.550
dijkstra,442823324,4494303492251,4494746315575,143233045.000,143.233045,0.010,44.00,44.00,44.00,44.00,2.388870,2388.870,1.883560,1883.560,0.037613,37.613,,,2.388870,2388.870
dijkstra,442443792,4494746672835,4495189116627,143111026.000,143.111026,0.009,44.00,45.00,44.00,45.00,2.395309,2395.309,1.889954,1889.954,0.037643,37.643,,,2.395309,2395.309
dijkstra,442176768,4495189476423,4495631653191,143023652.000,143.023652,0.009,45.00,44.00,45.00,44.00,2.388519,2388.519,1.884109,1884.109,0.037598,37.598,,,2.388519,2388.519
dijkstra,442291080,4495632008787,4496074299867,143061611.000,143.061611,0.009,44.00,45.00,44.00,45.00,2.372665,2372.665,1.871704,1871.704,0.037292,37.292,,,2.372665,2372.665
dijkstra,443572356,4496074656919,4496518229275,143473454.000,143.473454,0.009,45.00,45.00,45.00,45.00,2.406998,2406.998,1.898331,1898.331,0.037872,37.872,,,2.406998,2406.998
dijkstra,444072852,4496518576479,4496962649331,143635496.000,143.635496,0.009,45.00,45.00,45.00,45.00,2.391846,2391.846,1.886810,1886.810,0.037613,37.613,,,2.391846,2391.846
dijkstra,444504736,4496963001531,4497407506267,143774919.000,143.774919,0.009,45.00,45.00,45.00,45.00,2.388733,2388.733,1.883743,1883.743,0.037598,37.598,,,2.388733,2388.733
dijkstra,443438456,4497407855107,4497851293563,143433068.000,143.433068,0.009,45.00,44.00,45.00,44.00,2.416061,2416.061,1.906311,1906.311,0.037872,37.872,,,2.416061,2416.061
dijkstra,443093568,4497851654899,4498294748467,143319584.000,143.319584,0.009,44.00,45.00,44.00,45.00,2.388626,2388.626,1.883789,1883.789,0.037643,37.643,,,2.388626,2388.626
dijkstra,443420172,4498295101579,4498738521751,143429692.000,143.429692,0.009,45.00,45.00,45.00,45.00,2.390137,2390.137,1.884811,1884.811,0.037582,37.582,,,2.390137,2390.137
dijkstra,443611840,4498738886515,4499182498355,143487238.000,143.487238,0.009,45.00,45.00,45.00,45.00,2.393173,2393.173,1.888046,1888.046,0.037628,37.628,,,2.393173,2393.173
dijkstra,443954764,4499182853819,4499626808583,143598731.000,143.598731,0.009,45.00,44.00,45.00,44.00,2.396240,2396.240,1.891022,1891.022,0.037537,37.537,,,2.396240,2396.240
dijkstra,445199736,4499627165307,4500072365043,144002693.000,144.002693,0.009,44.00,44.00,44.00,44.00,2.414642,2414.642,1.905548,1905.548,0.037903,37.903,,,2.414642,2414.642
dijkstra,444104944,4500072727051,4500516831995,143647612.000,143.647612,0.009,44.00,45.00,44.00,45.00,2.390289,2390.289,1.885208,1885.208,0.037552,37.552,,,2.390289,2390.289
