array_size,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
100000,35253574473,304879914343,340133488816,22033484045.625,22033.484046,222.691986,222691.986,,,222.691986,222691.986
100000,35223445613,340135113995,375358559608,22014653508.125,22014.653508,223.774155,223774.155,,,223.774155,223774.155
100000,35222651563,375359390193,410582041756,22014157226.875,22014.157227,224.399887,224399.887,,,224.399887,224399.887
100000,35228469368,410582775052,445811244420,22017793355.000,22017.793355,225.233322,225233.322,,,225.233322,225233.322
100000,35220761318,445812006003,481032767321,22012975823.750,22012.975824,225.297226,225297.226,,,225.297226,225297.226
100000,35224698014,481033479569,516258177583,10697140039.746,10697.140040,225.622375,225622.375,,,225.622375,225622.375
100000,35227622903,516258899689,551486522592,22017264314.375,22017.264314,225.835831,225835.831,,,225.835831,225835.831
100000,35224248415,551487237308,586711485723,22015155259.375,22015.155259,225.954041,225954.041,,,225.954041,225954.041
100000,35222518101,586712198543,621934716644,22014073813.125,22014.073813,226.299423,226299.423,,,226.299423,226299.423
100000,35228375328,621935433162,657163808490,10698156063.018,10698.156063,226.417740,226417.740,,,226.417740,226417.740
100000,35225058193,657164522454,692389580647,22015661370.625,22015.661371,226.500656,226500.656,,,226.500656,226500.656
100000,35224610712,692390293149,727614903861,22015381695.000,22015.381695,226.730530,226730.530,,,226.730530,226730.530
100000,35226630951,727615616370,762842247321,22016644344.375,22016.644344,226.874222,226874.222,,,226.874222,226874.222
100000,35222548207,762842957520,798065505727,10740012680.653,10740.012681,227.083008,227083.008,,,227.083008,227083.008
100000,35222252696,798066220057,833288472753,22013907935.000,22013.907935,227.209366,227209.366,,,227.209366,227209.366
100000,35221332634,833289187206,868510519840,22013332896.250,22013.332896,227.369614,227369.614,,,227.369614,227369.614
100000,35229431251,868511232363,903740663614,22018394531.875,22018.394532,227.517105,227517.105,,,227.517105,227517.105
100000,35226433330,903741384583,938967817913,22016520831.250,22016.520831,227.441437,227441.437,,,227.441437,227441.437
100000,35221517801,938968537025,974190054826,22013448625.625,22013.448626,227.669388,227669.388,,,227.669388,227669.388
100000,35226542913,974190769262,1009417312175,22016589320.625,22016.589321,227.787018,227787.018,,,227.787018,227787.018
100000,35227034230,1009418029145,1044645063375,22016896393.750,22016.896394,227.601608,227601.608,,,227.601608,227601.608
100000,35242571020,1044645776098,1079888347118,22026606887.500,22026.606887,229.070770,229070.770,,,229.070770,229070.770
100000,35224828812,1079889105390,1115113934202,22015518007.500,22015.518007,227.980377,227980.377,,,227.980377,227980.377
100000,35220160270,1115114654793,1150334815063,22012600168.750,22012.600169,227.816330,227816.330,,,227.816330,227816.330
100000,35222545446,1150335528489,1185558073935,22014090903.750,22014.090904,227.744019,227744.019,,,227.744019,227744.019
100000,35223007411,1185558803318,1220781810729,22014379631.875,22014.379632,227.779251,227779.251,,,227.779251,227779.251
100000,35222611076,1220782525112,1256005136188,22014131922.500,22014.131923,227.845184,227845.184,,,227.845184,227845.184
100000,35223379892,1256005848383,1291229228275,22014612432.500,22014.612432,227.970062,227970.062,,,227.970062,227970.062
100000,35229463378,1291229988500,1326459451878,22018414611.250,22018.414611,228.006729,228006.729,,,228.006729,228006.729
100000,35221076075,1326460165177,1361681241252,22013172546.875,22013.172547,227.998077,227998.077,,,227.998077,227998.077
