array_size,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
100000,35331864470,523795329978,559127194448,10430544877.907,10430.544878,222.257248,222257.248,,,222.257248,222257.248
100000,35321240415,559128419766,594449660181,10411714127.422,10411.714127,223.064743,223064.743,,,223.064743,223064.743
100000,35322014579,594450191096,629772205675,10411936191.029,10411.936191,223.341415,223341.415,,,223.341415,223341.415
100000,35330664164,629772731854,665103396018,10414464356.112,10414.464356,223.961075,223961.075,,,223.961075,223961.075
100000,35331782889,665103920488,700435703377,10414812544.013,10414.812544,224.218338,224218.338,,,224.218338,224218.338
100000,35323147954,700436273243,735759421197,10412276416.586,10412.276417,224.416870,224416.870,,,224.416870,224416.870
100000,35325465417,735759980227,771085445644,10412947262.102,10412.947262,224.809143,224809.143,,,224.809143,224809.143
100000,35326900085,771085968803,806412868888,10413385509.474,10413.385509,225.075684,225075.684,,,225.075684,225075.684
100000,35326961810,806413394279,841740356089,10426274999.904,10426.275000,225.312286,225312.286,,,225.312286,225312.286
100000,35327758711,841740879809,877068638520,10413617120.978,10413.617121,225.509308,225509.308,,,225.509308,225509.308
100000,35328056036,877069164068,912397220104,10413744669.700,10413.744670,225.623566,225623.566,,,225.623566,225623.566
100000,35324688170,912397743789,947722431959,10412764192.509,10412.764193,225.734741,225734.741,,,225.734741,225734.741
100000,35322872919,947722956340,983045829259,10412179997.860,10412.179998,225.974701,225974.701,,,225.974701,225974.701
100000,35319062665,983046355173,1018365417838,10411072187.609,10411.072188,226.115952,226115.952,,,226.115952,226115.952
100000,35322463681,1018365941702,1053688405383,10424870518.976,10424.870519,226.213562,226213.562,,,226.213562,226213.562
100000,35322766480,1053688929667,1089011696147,10412151691.872,10412.151692,226.289124,226289.124,,,226.289124,226289.124
100000,35321029562,1089012222775,1124333252337,10411651973.853,10411.651974,226.435074,226435.074,,,226.435074,226435.074
100000,35671957105,1124333809073,1160005766178,10515089402.833,10515.089403,253.737976,253737.976,,,253.737976,253737.976
100000,35330417180,1160006351157,1195336768337,10414397692.058,10414.397692,226.916214,226916.214,,,226.916214,226916.214
100000,35322513610,1195337325826,1230659839436,10412110914.105,10412.110914,226.860977,226860.977,,,226.860977,226860.977
100000,35329054049,1230660394670,1265989448719,10414020438.025,10414.020438,226.920959,226920.959,,,226.920959,226920.959
100000,35324212243,1265989982114,1301314194357,10412608555.302,10412.608555,226.761414,226761.414,,,226.761414,226761.414
100000,35325682600,1301314718012,1336640400612,10413002073.127,10413.002073,226.897476,226897.476,,,226.897476,226897.476
100000,35328799446,1336640925409,1371969724855,10413926969.745,10413.926970,227.021271,227021.271,,,227.021271,227021.271
100000,35323268825,1371970247781,1407293516606,10412312045.977,10412.312046,227.172028,227172.028,,,227.172028,227172.028
100000,35325327195,1407294041176,1442619368371,10412952559.823,10412.952560,227.292969,227292.969,,,227.292969,227292.969
100000,35325054556,1442619891394,1477944945950,10412816943.698,10412.816944,227.292511,227292.511,,,227.292511,227292.511
100000,35323381831,1477945500390,1513268882221,10412357634.074,10412.357634,227.536804,227536.804,,,227.536804,227536.804
100000,35322572358,1513269405424,1548591977782,10412115954.580,10412.115955,227.650558,227650.558,,,227.650558,227650.558
100000,35322604516,1548592500693,1583915105209,10412100880.276,10412.100880,227.721786,227721.786,,,227.721786,227721.786
