benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
crc32,57141874811,564084950499,621226825310,18475351808.000,18475.351808,125085.000,38.00,43.00,38.00,43.00,264.396957,264396.957,0.000000,0.000,264.396957,264396.957
crc32,57142490036,621361038354,678503528390,18475550464.000,18475.550464,0.000,41.00,43.00,41.00,43.00,264.751861,264751.861,0.000000,0.000,264.751861,264751.861
crc32,57141671904,678633650778,735775322682,18475286016.000,18475.286016,0.000,42.00,43.00,42.00,43.00,264.858596,264858.596,0.000000,0.000,264.858596,264858.596
crc32,57142000424,735905422842,793047423266,18475391744.000,18475.391744,0.000,42.00,44.00,42.00,44.00,264.902511,264902.511,0.000000,0.000,264.902511,264902.511
crc32,57141986652,793177539942,850319526594,18475387648.000,18475.387648,0.000,42.00,43.00,42.00,43.00,265.099014,265099.014,0.000000,0.000,265.099014,265099.014
crc32,57141852892,850449673754,907591526646,18475344640.000,18475.344640,0.000,42.00,44.00,42.00,44.00,265.332290,265332.290,0.000000,0.000,265.332290,265332.290
crc32,57141622864,907721708538,964863331402,18475270144.000,18475.270144,0.000,43.00,44.00,43.00,44.00,265.348190,265348.190,0.000000,0.000,265.348190,265348.190
crc32,57141806088,964993516486,1022135322574,18475329280.000,18475.329280,0.000,42.00,44.00,42.00,44.00,265.448867,265448.867,0.000000,0.000,265.448867,265448.867
crc32,57141673744,1022266306430,1079407980174,18475286528.000,18475.286528,0.000,43.00,44.00,43.00,44.00,265.559631,265559.631,0.000000,0.000,265.559631,265559.631
crc32,57141913176,1079539814618,1136681727794,18475364096.000,18475.364096,0.000,43.00,44.00,43.00,44.00,265.564346,265564.346,0.000000,0.000,265.564346,265564.346
crc32,57142454764,1136813572486,1193956027250,18475538944.000,18475.538944,0.000,43.00,44.00,43.00,44.00,265.647857,265647.857,0.000000,0.000,265.647857,265647.857
crc32,57142332008,1194087847930,1251230179938,18475499520.000,18475.499520,0.000,43.00,44.00,43.00,44.00,265.619415,265619.415,0.000000,0.000,265.619415,265619.415
crc32,57141890052,1251362021834,1308503911886,18475356160.000,18475.356160,0.000,43.00,44.00,43.00,44.00,265.550201,265550.201,0.000000,0.000,265.550201,265550.201
crc32,57142032440,1308635792362,1365777824802,18475402240.000,18475.402240,0.000,43.00,44.00,43.00,44.00,265.620223,265620.223,0.000000,0.000,265.620223,265620.223
crc32,57141697400,1365909718958,1423051416358,18475293952.000,18475.293952,0.000,43.00,44.00,43.00,44.00,265.721389,265721.389,0.000000,0.000,265.721389,265721.389
crc32,57141799076,1423183299498,1480325098574,18475327232.000,18475.327232,0.000,43.00,44.00,43.00,44.00,265.722564,265722.564,0.000000,0.000,265.722564,265722.564
crc32,57141851248,1480456993490,1537598844738,18475343872.000,18475.343872,0.000,43.00,45.00,43.00,45.00,265.810440,265810.440,0.000000,0.000,265.810440,265810.440
crc32,57141586568,1537730748394,1594872334962,18475258112.000,18475.258112,0.000,44.00,43.00,44.00,43.00,265.671646,265671.646,0.000000,0.000,265.671646,265671.646
crc32,57141806008,1595004219294,1652146025302,18475329024.000,18475.329024,0.000,43.00,45.00,43.00,45.00,265.615509,265615.509,0.000000,0.000,265.615509,265615.509
crc32,57142122480,1652277942682,1709420065162,18475431424.000,18475.431424,0.000,43.00,45.00,43.00,45.00,265.817596,265817.596,0.000000,0.000,265.817596,265817.596
crc32,57141911904,1709551967110,1766693879014,18475363328.000,18475.363328,0.000,43.00,44.00,43.00,44.00,265.870437,265870.437,0.000000,0.000,265.870437,265870.437
crc32,57141784320,1766825835370,1823967619690,18475321856.000,18475.321856,0.000,43.00,44.00,43.00,44.00,265.650650,265650.650,0.000000,0.000,265.650650,265650.650
crc32,57142208600,1824099577082,1881241785682,18475459328.000,18475.459328,0.000,43.00,44.00,43.00,44.00,265.620361,265620.361,0.000000,0.000,265.620361,265620.361
crc32,57142099840,1881373730502,1938515830342,18475424000.000,18475.424000,0.000,43.00,44.00,43.00,44.00,265.696029,265696.029,0.000000,0.000,265.696029,265696.029
crc32,57141486452,1938647791186,1995789277638,18475226112.000,18475.226112,0.000,43.00,45.00,43.00,45.00,265.868072,265868.072,0.000000,0.000,265.868072,265868.072
crc32,57141886264,1995921213250,2053063099514,18475355136.000,18475.355136,0.000,44.00,44.00,44.00,44.00,265.954147,265954.147,0.000000,0.000,265.954147,265954.147
crc32,57141980140,2053195086922,2110337067062,18475385600.000,18475.385600,0.000,43.00,45.00,43.00,45.00,265.919494,265919.494,0.000000,0.000,265.919494,265919.494
crc32,57141722456,2110469057794,2167610780250,18475302144.000,18475.302144,0.000,43.00,45.00,43.00,45.00,265.865997,265865.997,0.000000,0.000,265.865997,265865.997
crc32,57141761100,2167742773450,2224884534550,18475314688.000,18475.314688,0.000,44.00,45.00,44.00,45.00,266.060897,266060.897,0.000000,0.000,266.060897,266060.897
