array_size,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
2000,7655292,92811160823,92818816115,2475838.292,2.475838,0.046356,46.356,0.000000,0.000,0.046356,46.356
2000,7627820,92902019823,92909647643,2466953.428,2.466953,0.046142,46.142,0.000000,0.000,0.046142,46.142
2000,7679864,92992847851,93000527715,2483785.252,2.483785,0.031646,31.646,0.000000,0.000,0.031646,31.646
2000,7500960,93083737175,93091238135,2425924.968,2.425925,0.030548,30.548,0.000000,0.000,0.030548,30.548
2000,7670804,93174451259,93182122063,2480855.110,2.480855,0.046051,46.051,0.000000,0.000,0.046051,46.051
2000,7695684,93265338935,93273034619,2488901.682,2.488902,0.031509,31.509,0.000000,0.000,0.031509,31.509
2000,7685716,93356240535,93363926251,2485677.878,2.485678,0.031219,31.219,0.000000,0.000,0.031219,31.219
2000,7650452,93447125375,93454775827,2474272.962,2.474273,0.046325,46.325,0.000000,0.000,0.046325,46.325
2000,7648172,93537984951,93545633123,2473535.576,2.473536,0.045318,45.318,0.000000,0.000,0.045318,45.318
2000,7615492,93628836543,93636452035,2462966.365,2.462966,0.031402,31.402,0.000000,0.000,0.031402,31.402
2000,7667952,93719660963,93727328915,2479932.730,2.479933,0.046493,46.493,0.000000,0.000,0.046493,46.493
2000,7682388,93810538043,93818220431,2484601.552,2.484602,0.045425,45.425,0.000000,0.000,0.045425,45.425
2000,7647056,93901434755,93909081811,2473174.644,2.473175,0.031250,31.250,0.000000,0.000,0.031250,31.250
2000,7655552,93992284095,93999939647,2475922.380,2.475922,0.046371,46.371,0.000000,0.000,0.046371,46.371
2000,7557760,94083156667,94090714427,2444294.955,2.444295,0.045669,45.669,0.000000,0.000,0.045669,45.669
2000,7651368,94173925791,94181577159,2474569.211,2.474569,0.031478,31.478,0.000000,0.000,0.031478,31.478
2000,7645388,94264776083,94272421471,2472635.188,2.472635,0.031066,31.066,0.000000,0.000,0.031066,31.066
2000,7634668,94355609927,94363244595,2469168.176,2.469168,0.045532,45.532,0.000000,0.000,0.045532,45.532
